BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3
true,60970,60970,60970,60970,true,46735,46735,46735,46735,true,46735,46735,46735,46735
true,473642,473642,473642,473642,true,281502,281502,281502,281502,true,252666,252666,252666,252666
true,253166,253166,253166,253166,true,163660,163660,165928,165928,true,161360,161360,161360,161360
true,225750,225750,225750,225750,true,143192,143192,143192,143192,true,143192,143192,143192,143192
true,313200,313200,313200,313200,true,212220,212220,212220,212220,true,149865,149865,149865,149865
true,293072,293072,293072,293072,true,224896,224896,224896,224896,true,186944,186944,186944,186944
true,125229,125229,125229,125229,true,80249,80249,80249,80249,true,80249,80249,80249,80249
true,94750,94750,94750,94750,true,56182,56182,62355,62355,true,54665,54665,54665,54665
true,169776,169776,169776,169776,true,118464,118464,118464,118464,true,118464,118464,118464,118464
true,90252,90252,90252,90252,true,63582,63582,63582,63582,true,63582,63582,63582,63582
true,227964,227964,227964,227964,true,162401,162401,162401,162401,true,162401,162401,162401,162401
true,136864,136864,136864,136864,true,136864,136864,136864,136864,true,136864,136864,136864,136864
true,501540,501540,501540,501540,true,400260,400260,400260,400260,true,400260,400260,400260,400260
true,170688,170688,170688,170688,true,170688,170688,170688,170688,true,170688,170688,170688,170688
true,273420,273420,273420,273420,true,152992,152992,152992,152992,true,125664,125664,125664,125664
true,138522,138522,138522,138522,true,112890,112890,112890,112890,true,112890,112890,112890,112890
true,614325,614325,614325,614325,true,423225,423225,426275,426275,true,279850,279850,279850,279850
true,253474,253474,253474,253474,true,184886,184886,184886,184886,true,184886,184886,184886,184886
true,710123,710123,710123,710123,true,435754,435754,435754,435754,true,329179,329179,329179,329179
true,414920,414920,414920,414920,true,234652,234652,234652,234652,true,234298,234298,234298,234298
true,137248,137248,137248,137248,true,137248,137248,137248,137248,true,137248,137248,137248,137248
true,235144,235144,235144,235144,true,151138,151138,151138,151138,true,151138,151138,151138,151138
true,229501,229501,229501,229501,true,179736,179736,179736,179736,true,179736,179736,179736,179736
true,60730,60730,60730,60730,true,47675,47675,47675,47675,true,47675,47675,47675,47675
true,323830,323830,323830,323830,true,309111,309111,309111,309111,true,309111,309111,309111,309111
true,279666,279666,279666,279666,true,176325,176325,176325,176325,true,173610,173610,173610,173610
true,132638,132638,132638,132638,true,112812,112812,112812,112812,true,112812,112812,112812,112812
true,68745,68745,68745,68745,true,39725,39725,39725,39725,true,39725,39725,39725,39725
true,112872,112872,112872,112872,true,112872,112872,112872,112872,true,112872,112872,112872,112872
true,715840,715840,715840,715840,true,416768,416768,416768,416768,true,357728,357728,357728,357728
true,146820,146820,146820,146820,true,96240,96240,96240,96240,true,96240,96240,96240,96240
true,86670,86670,86670,86670,true,65412,65412,65412,65412,true,65412,65412,65412,65412
true,131796,131796,131796,131796,true,85848,85848,85848,85848,true,85848,85848,85848,85848
true,343368,343368,343368,343368,true,343368,343368,343368,343368,true,343368,343368,343368,343368
true,95445,95445,95445,95445,true,79660,79660,79660,79660,true,79660,79660,79660,79660
true,327688,327688,327688,327688,true,196504,196504,207960,207960,true,157080,157080,157080,157080
true,507168,507168,507168,507168,true,316320,316320,316320,316320,true,316320,316320,316320,316320
true,424032,424032,424032,424032,true,336776,336776,336776,336776,true,336776,336776,336776,336776
true,130336,130336,130336,130336,true,110424,110424,110424,110424,true,110424,110424,110424,110424
