BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2
true,312597,312597,312597,312597,true,276797,276797,276797,276797
true,163865,163865,163865,163865,true,138593,138593,138593,138593
true,618696,618696,618696,618696,true,447750,447750,447750,447750
true,170192,170192,170192,170192,true,170192,170192,170192,170192
true,155610,155610,155610,155610,true,117000,117000,117000,117000
true,57108,57108,57108,57108,true,57108,57108,57108,57108
true,185274,185274,185274,185274,true,119168,119168,119168,119168
true,103610,103610,103610,103610,true,103610,103610,103610,103610
true,100800,100800,100800,100800,true,75640,75640,75640,75640
true,152848,152848,152848,152848,true,152848,152848,152848,152848
true,315469,315469,315469,315469,true,315469,315469,315469,315469
true,87577,87577,87577,87577,true,73199,73199,73199,73199
true,156114,156114,156114,156114,true,142890,142890,142890,142890
true,173500,173500,173500,173500,true,128548,128548,128548,128548
true,185674,185674,185674,185674,true,108647,108647,108647,108647
true,57648,57648,57648,57648,true,47040,47040,47040,47040
true,85530,85530,85530,85530,true,85530,85530,85530,85530
true,242112,242112,242112,242112,true,242112,242112,242112,242112
true,78906,78906,78906,78906,true,78906,78906,78906,78906
true,130788,130788,130788,130788,true,73430,73430,73430,73430
true,251262,251262,251262,251262,true,174636,174636,174636,174636
true,115200,115200,115200,115200,true,101925,101925,101925,101925
true,79982,79982,79982,79982,true,79982,79982,79982,79982
true,302568,302568,302568,302568,true,302568,302568,302568,302568
true,242520,242520,242520,242520,true,179320,179320,179320,179320
true,123924,123924,123924,123924,true,123924,123924,123924,123924
true,120468,120468,120468,120468,true,119480,119480,119480,119480
true,49548,49548,49548,49548,true,49548,49548,49548,49548
true,147920,147920,147920,147920,true,105140,105140,105140,105140
true,433375,433375,433375,433375,true,345465,345465,345465,345465
true,199888,199888,199888,199888,true,199888,199888,199888,199888
true,346780,346780,346780,346780,true,186060,186060,186060,186060
true,331700,331700,331700,331700,true,285275,285275,285275,285275
true,279708,279708,279708,279708,true,279708,279708,279708,279708
true,86416,86416,86416,86416,true,86416,86416,86416,86416
true,103392,103392,103392,103392,true,91184,91184,91184,91184
true,240435,240435,240435,240435,true,153870,153870,153870,153870
true,76755,76755,76755,76755,true,44618,44618,44618,44618
true,194939,194939,194939,194939,true,177038,177038,177038,177038
true,196680,196680,196680,196680,true,196680,196680,196680,196680
true,132870,132870,132870,132870,true,111630,111630,111630,111630
true,57855,57855,57855,57855,true,57855,57855,57855,57855
true,162012,162012,162012,162012,true,118212,118212,118212,118212
true,123060,123060,123060,123060,true,90804,90804,90804,90804
true,109284,109284,109284,109284,true,72128,72128,72128,72128
true,357102,357102,357102,357102,true,294980,294980,294980,294980
true,41728,41728,41728,41728,true,41310,41310,41310,41310
true,191525,191525,191525,191525,true,175716,175716,175716,175716
true,54438,54438,54438,54438,true,38478,38478,38478,38478
true,256749,256749,256749,256749,true,218362,218362,218362,218362
true,351621,351621,351621,351621,true,210897,210897,210897,210897
true,107400,107400,107400,107400,true,107400,107400,107400,107400
true,119814,119814,119814,119814,true,78869,78869,78869,78869
true,165680,165680,165680,165680,true,139316,139316,139316,139316
true,343872,343872,343872,343872,true,278512,278512,278512,278512
true,349774,349774,349774,349774,true,242424,242424,242424,242424
true,322650,322650,322650,322650,true,247005,247005,247005,247005
true,98864,98864,98864,98864,true,98864,98864,98864,98864
true,46908,46908,46908,46908,true,27738,27738,27738,27738
true,128690,128690,128690,128690,true,91222,91222,91222,91222
true,41750,41750,41750,41750,true,36240,36240,36240,36240
