BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5
true,114030,114030,114030,114030,true,89205,89205,92022,92022,true,85536,85536,85536,85536,true,85536,85536,85536,85536,true,85536,85536,85536,85536
true,158322,158322,158322,158322,true,100232,100232,108744,108744,true,100232,100232,100232,100232,true,100232,100232,100232,100232,true,100232,100232,100232,100232
true,427735,427735,427735,427735,true,257828,259948,292671,292671,true,217206,217206,217206,217206,true,173281,173281,173281,173281,true,173281,173281,173281,173281
true,302203,302203,302203,302203,true,226550,226550,226556,226556,true,199403,199403,199403,199403,true,199403,199403,199403,199403,true,199403,199403,199403,199403
true,163850,163850,163850,163850,true,140830,140830,140830,140830,true,140830,140830,140830,140830,true,140830,140830,140830,140830,true,140830,140830,140830,140830
true,389606,389606,389606,389606,true,218512,218512,218512,218512,true,181734,181734,181734,181734,true,179340,179340,179340,179340,true,169470,169470,169470,169470
true,185625,185625,185625,185625,true,168064,168064,168064,168064,true,163774,163774,163774,163774,true,163774,163774,163774,163774,true,163774,163774,163774,163774
true,473888,473888,473888,473888,true,379464,379464,412480,412480,true,379464,379464,379464,379464,true,379464,379464,379464,379464,true,379464,379464,379464,379464
true,144925,144925,144925,144925,true,97715,98396,106015,106015,true,83806,87780,87780,87780,true,82502,82502,82502,82502,true,82502,82502,82502,82502
true,163870,163870,163870,163870,true,103526,108600,118195,118195,true,91992,91992,91992,91992,true,91992,91992,91992,91992,true,91992,91992,91992,91992
true,354860,354860,354860,354860,true,257752,257752,257752,257752,true,257752,257752,257752,257752,true,257752,257752,257752,257752,true,257752,257752,257752,257752
true,266310,266310,266310,266310,true,225038,225038,233552,233552,true,225038,225038,225038,225038,true,225038,225038,225038,225038,true,225038,225038,225038,225038
