BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4
true,126546,126546,126546,126546,true,114471,114471,114471,114471,true,114471,114471,114471,114471,true,114471,114471,114471,114471
true,148296,148296,148296,148296,true,98796,98796,98796,98796,true,78975,78975,78975,78975,true,78975,78975,78975,78975
true,109494,109494,109494,109494,true,84880,84880,94398,94398,true,84880,84880,84880,84880,true,84880,84880,84880,84880
true,256104,256104,256104,256104,true,165036,165036,165036,165036,true,127200,127200,127200,127200,true,127200,127200,127200,127200
true,280800,280800,280800,280800,true,209790,209790,209790,209790,true,189958,189958,189958,189958,true,189958,189958,189958,189958
true,314496,314496,314496,314496,true,172488,174960,217800,217800,true,133848,133848,133848,133848,true,111824,111824,111824,111824
true,660135,660135,660135,660135,true,364140,366459,412584,412584,true,320754,320754,320754,320754,true,284868,284868,284868,284868
true,313803,313803,313803,313803,true,313803,313803,313803,313803,true,313803,313803,313803,313803,true,313803,313803,313803,313803
true,644072,644072,644072,644072,true,407498,407498,407498,407498,true,407498,407498,407498,407498,true,407498,407498,407498,407498
true,211743,211743,211743,211743,true,144347,144347,144347,144347,true,144347,144347,144347,144347,true,144347,144347,144347,144347
true,455560,455560,455560,455560,true,273120,273120,296604,296604,true,205240,205240,205240,205240,true,205240,205240,205240,205240
true,206760,206760,206760,206760,true,168976,168976,168976,168976,true,168976,168976,168976,168976,true,168976,168976,168976,168976
true,255520,255520,255520,255520,true,205424,205424,205424,205424,true,205424,205424,205424,205424,true,205424,205424,205424,205424
true,810781,810781,810781,810781,true,491872,491872,519742,519742,true,443269,443269,464960,464960,true,396933,396933,396933,396933
true,79980,79980,79980,79980,true,57505,57505,57505,57505,true,57505,57505,57505,57505,true,57505,57505,57505,57505
true,293040,293040,293040,293040,true,216776,216776,216776,216776,true,216776,216776,216776,216776,true,216776,216776,216776,216776
true,120025,120025,120025,120025,true,61035,61035,61035,61035,true,60495,60495,60495,60495,true,60495,60495,60495,60495
true,123822,123822,123822,123822,true,107202,107202,107202,107202,true,107202,107202,107202,107202,true,107202,107202,107202,107202
true,335559,335559,335559,335559,true,212415,212415,212415,212415,true,175269,175269,175269,175269,true,165816,165816,165816,165816
true,93470,93470,93470,93470,true,74975,74975,74975,74975,true,61560,61560,61560,61560,true,61560,61560,61560,61560
true,200112,200112,200112,200112,true,173355,173355,173355,173355,true,173355,173355,173355,173355,true,173355,173355,173355,173355
true,93370,93370,93370,93370,true,63325,63325,63325,63325,true,58292,58292,58292,58292,true,58292,58292,58292,58292
true,137890,137890,137890,137890,true,118075,118075,118075,118075,true,118075,118075,118075,118075,true,118075,118075,118075,118075
true,445878,445878,445878,445878,true,286328,286328,286328,286328,true,260568,260568,260568,260568,true,260568,260568,260568,260568
true,146986,146986,146986,146986,true,81928,81928,81928,81928,true,81928,81928,81928,81928,true,81928,81928,81928,81928
true,149826,149826,149826,149826,true,109662,109662,109662,109662,true,109662,109662,109662,109662,true,109662,109662,109662,109662
true,117360,117360,117360,117360,true,70520,70520,70520,70520,true,70520,70520,70520,70520,true,70520,70520,70520,70520
true,538878,538878,538878,538878,true,404586,404586,404586,404586,true,312540,312540,312540,312540,true,312540,312540,312540,312540
true,527578,527578,527578,527578,true,292043,292043,338023,338023,true,268090,268090,268090,268090,true,221160,221160,221160,221160
true,211013,211013,211013,211013,true,113157,113157,113157,113157,true,106766,106766,106766,106766,true,106766,106766,106766,106766
true,311868,311868,311868,311868,true,222240,222240,222240,222240,true,222240,222240,222240,222240,true,222240,222240,222240,222240
true,434248,434248,434248,434248,true,260831,260831,293454,293454,true,208887,208887,208887,208887,true,208887,208887,208887,208887
true,508402,508402,508402,508402,true,267546,267546,267546,267546,true,253402,253402,253402,253402,true,241780,241780,241780,241780
true,153375,153375,153375,153375,true,115200,115200,115200,115200,true,115200,115200,115200,115200,true,115200,115200,115200,115200
true,311805,311805,311805,311805,true,228294,228294,228294,228294,true,181116,181116,181116,181116,true,181116,181116,181116,181116
true,585620,585620,585620,585620,true,493948,493948,493948,493948,true,493948,493948,493948,493948,true,493948,493948,493948,493948
true,372672,372672,372672,372672,true,228496,228496,262869,262869,true,175658,175658,184920,184920,true,170448,170448,170448,170448
true,131138,131138,131138,131138,true,74543,74543,95088,95088,true,63217,63217,68796,68796,true,49539,49539,49539,49539
true,451954,451954,451954,451954,true,317300,317300,337460,337460,true,237510,237510,257670,257670,true,237510,237510,237510,237510
true,660968,660968,660968,660968,true,407902,407902,407902,407902,true,315210,315210,315210,315210,true,315210,315210,315210,315210
