BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7,BnB_BnB/8/finished,BnB_BnB/8,BnB_List/8,DP/8,DP_BnB/8
true,196630,196630,196630,196630,true,115332,115495,131320,131320,true,90240,90240,114764,114764,true,90240,90240,90240,90240,true,90240,90240,90240,90240,true,90240,90240,90240,90240,true,90240,90240,90240,90240,true,90240,90240,90240,90240
true,325402,325402,325402,325402,true,253505,253505,272251,272251,true,216972,216972,235718,235718,false,216846,216846,216972,216972,true,216846,216846,216846,216846,true,216846,216846,216846,216846,true,216846,216846,216846,216846,true,216846,216846,216846,216846
true,527630,527630,527630,527630,true,304719,308814,325402,325402,true,237254,237254,237254,237254,true,232599,232599,232599,232599,true,232599,232599,232599,232599,true,232599,232599,232599,232599,true,232599,232599,232599,232599,true,232599,232599,232599,232599
true,299730,299730,299730,299730,true,201381,201381,229140,229140,false,161742,161742,198432,198432,false,136692,133722,164028,164028,false,121932,121932,136692,136692,true,116247,116247,116247,116247,true,116247,116247,116247,116247,true,116247,116247,116247,116247
true,516735,516735,516735,516735,true,273480,273480,280924,280924,false,195150,197925,237626,237626,false,170896,173040,173040,173040,true,168416,168416,172350,172350,true,168416,168416,168416,168416,true,168416,168416,168416,168416,true,168416,168416,168416,168416
true,265650,265650,265650,265650,true,142464,142464,142464,142464,true,130806,130806,130806,130806,true,130806,130806,130806,130806,true,130806,130806,130806,130806,true,130806,130806,130806,130806,true,130806,130806,130806,130806,true,130806,130806,130806,130806
true,308176,308176,308176,308176,true,262394,262394,262394,262394,true,262394,262394,262394,262394,true,262394,262394,262394,262394,true,262394,262394,262394,262394,true,262394,262394,262394,262394,true,262394,262394,262394,262394,true,262394,262394,262394,262394
true,357595,357595,357595,357595,false,232694,232694,255189,255189,true,185049,185049,219492,219492,false,167468,167468,205919,205919,false,167468,167468,178255,178255,true,167468,167468,167468,167468,true,167468,167468,167468,167468,true,167468,167468,167468,167468
true,337032,337032,337032,337032,true,181980,193676,197416,197416,true,152288,152288,156120,156120,false,130552,131872,152288,152288,true,130552,130552,139160,139160,true,130552,130552,130552,130552,true,130552,130552,130552,130552,true,130552,130552,130552,130552
true,256266,256266,256266,256266,true,211727,211727,223425,223425,true,193736,193736,206099,206099,true,180506,186354,193736,193736,true,180506,180506,180506,180506,true,180506,180506,180506,180506,true,180506,180506,180506,180506,true,180506,180506,180506,180506
true,702570,702570,702570,702570,true,453654,453654,499800,499800,true,358965,359844,396810,396810,false,300420,300420,300420,300420,false,275859,279045,279045,279045,true,275859,275859,275859,275859,true,275859,275859,275859,275859,true,275859,275859,275859,275859
true,929340,929340,929340,929340,true,526338,526338,580482,580482,true,474714,474714,474714,474714,true,430044,430044,430044,430044,true,430044,430044,430044,430044,true,430044,430044,430044,430044,true,430044,430044,430044,430044,true,430044,430044,430044,430044
