BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1
true,161112,161112,161112,161112
true,182680,182680,182680,182680
true,13508,13508,13508,13508
true,143928,143928,143928,143928
true,316074,316074,316074,316074
true,7368,7368,7368,7368
true,275016,275016,275016,275016
true,164420,164420,164420,164420
true,122096,122096,122096,122096
true,123708,123708,123708,123708
true,30492,30492,30492,30492
true,118050,118050,118050,118050
true,240201,240201,240201,240201
true,11133,11133,11133,11133
true,11907,11907,11907,11907
true,300080,300080,300080,300080
true,19692,19692,19692,19692
true,65504,65504,65504,65504
true,146520,146520,146520,146520
true,83800,83800,83800,83800
true,213570,213570,213570,213570
true,7735,7735,7735,7735
true,119460,119460,119460,119460
true,55620,55620,55620,55620
true,115552,115552,115552,115552
true,29052,29052,29052,29052
true,268660,268660,268660,268660
true,174040,174040,174040,174040
true,61229,61229,61229,61229
true,153604,153604,153604,153604
true,54934,54934,54934,54934
true,209256,209256,209256,209256
true,69300,69300,69300,69300
true,138171,138171,138171,138171
true,102074,102074,102074,102074
true,58212,58212,58212,58212
true,9064,9064,9064,9064
true,372510,372510,372510,372510
true,110838,110838,110838,110838
