BnB_BnB/1/finished,BnB_BnB/1,BnB_List/1,DP/1,DP_BnB/1,BnB_BnB/2/finished,BnB_BnB/2,BnB_List/2,DP/2,DP_BnB/2,BnB_BnB/3/finished,BnB_BnB/3,BnB_List/3,DP/3,DP_BnB/3,BnB_BnB/4/finished,BnB_BnB/4,BnB_List/4,DP/4,DP_BnB/4,BnB_BnB/5/finished,BnB_BnB/5,BnB_List/5,DP/5,DP_BnB/5,BnB_BnB/6/finished,BnB_BnB/6,BnB_List/6,DP/6,DP_BnB/6,BnB_BnB/7/finished,BnB_BnB/7,BnB_List/7,DP/7,DP_BnB/7
true,296478,296478,296478,296478,true,190182,195705,208344,208344,true,155862,155862,160311,160311,true,155862,155862,155862,155862,true,155862,155862,155862,155862,true,155862,155862,155862,155862,true,155862,155862,155862,155862
true,266328,266328,266328,266328,true,200388,200388,217902,217902,true,177234,177234,177234,177234,true,152178,152178,152178,152178,false,151107,151107,151107,151107,true,151107,151107,151107,151107,true,151107,151107,151107,151107
true,228204,228204,228204,228204,true,141984,141984,164622,164622,true,127848,127848,127848,127848,true,127848,127848,127848,127848,true,127848,127848,127848,127848,true,127848,127848,127848,127848,true,127848,127848,127848,127848
true,520597,520597,520597,520597,true,314435,314435,314435,314435,true,269819,269819,269819,269819,true,269819,269819,269819,269819,true,269819,269819,269819,269819,true,269819,269819,269819,269819,true,269819,269819,269819,269819
true,342300,342300,342300,342300,true,211430,211430,211430,211430,true,184791,184791,184791,184791,true,184791,184791,184791,184791,true,184791,184791,184791,184791,true,184791,184791,184791,184791,true,184791,184791,184791,184791
true,229026,229026,229026,229026,true,121236,121236,121236,121236,true,107820,110520,111822,111822,true,107820,107820,107820,107820,true,107820,107820,107820,107820,true,107820,107820,107820,107820,true,107820,107820,107820,107820
true,330184,330184,330184,330184,true,240584,240584,269464,269464,true,238144,238144,240584,240584,true,238144,238144,238144,238144,true,238144,238144,238144,238144,true,238144,238144,238144,238144,true,238144,238144,238144,238144
true,249846,249846,249846,249846,true,171550,171550,173046,173046,true,171550,171550,171550,171550,true,171550,171550,171550,171550,true,171550,171550,171550,171550,true,171550,171550,171550,171550,true,171550,171550,171550,171550
true,160180,160180,160180,160180,true,97477,99036,101193,101193,true,80948,80948,80948,80948,true,75635,75635,75635,75635,true,75635,75635,75635,75635,true,75635,75635,75635,75635,true,75635,75635,75635,75635
true,264120,264120,264120,264120,true,216293,216293,218360,218360,true,193968,193968,193968,193968,true,173472,173472,173472,173472,false,160240,160240,160240,160240,true,159040,159040,159040,159040,true,159040,159040,159040,159040
true,571942,571942,571942,571942,true,344148,344148,356608,356608,true,275618,275618,275618,275618,false,255258,255258,263158,263158,true,255258,255258,255258,255258,true,255258,255258,255258,255258,true,255258,255258,255258,255258
